,game_id,team_id,fastBreakPoints,pointsInPaint,biggestLead,secondChancePoints,pointsOffTurnovers,longestRun,points,fgm,fga,fgp,ftm,fta,ftp,tpm,tpa,tpp,offReb,defReb,totReb,assists,pFouls,steals,turnovers,blocks,plusMinus,min
363,9218,41,7,58,26,12,16,8,118,42,79,53.2,25,26,96.2,9,29,31.0,9,38,47,25,23,9,19,2,20,240:00
364,9219,20,12,40,18,11,10,15,115,41,82,50.0,14,19,73.7,19,35,54.3,14,32,46,25,14,5,15,5,10,240:00
365,9219,20,12,48,10,14,16,13,105,43,89,48.3,8,10,80.0,11,32,34.4,9,27,36,23,19,10,11,5,-10,240:00
366,9220,9,18,60,25,2,25,12,133,50,86,58.1,16,18,88.9,17,38,44.7,4,34,38,35,22,9,14,7,18,240:00
367,9220,9,11,58,3,18,18,12,115,41,88,46.6,26,34,76.5,7,24,29.2,10,27,37,22,17,6,15,3,-18,240:00
368,9221,11,10,34,20,19,13,12,111,39,90,43.3,17,21,81.0,16,46,34.8,12,33,45,27,25,9,12,8,4,240:00
369,9221,11,16,38,2,11,13,9,107,36,82,43.9,20,29,69.0,15,41,36.6,11,34,45,20,19,5,16,2,-4,240:00
370,9222,17,19,32,2,4,10,11,92,30,78,38.5,20,29,69.0,12,43,27.9,1,35,36,26,22,6,18,7,-18,240:00
371,9222,17,13,48,26,23,18,11,110,41,98,41.8,16,24,66.7,12,44,27.3,15,46,61,23,25,13,15,6,18,240:00
372,9223,31,9,54,6,15,22,9,128,50,100,50.0,13,18,72.2,15,41,36.6,11,32,43,27,18,8,7,4,2,240:00
373,9223,31,7,64,17,18,11,8,126,46,93,49.5,21,26,80.8,13,37,35.1,13,37,50,26,18,5,12,6,-2,240:00
374,9224,21,7,50,9,12,19,11,112,45,104,43.3,8,10,80.0,14,47,29.8,12,32,44,16,19,12,13,5,-4,265:00
375,9224,21,16,48,12,13,12,11,116,42,89,47.2,19,30,63.3,13,37,35.1,13,44,57,34,13,10,20,3,4,265:00
376,9225,5,15,52,1,17,21,8,116,44,92,47.8,15,18,83.3,13,37,35.1,10,28,38,29,19,8,13,4,-9,240:00
377,9225,5,8,40,29,16,14,10,125,44,85,51.8,16,18,88.9,21,47,44.7,7,34,41,27,20,7,15,6,9,240:00
378,9226,19,20,60,26,14,31,13,124,45,97,46.4,21,27,77.8,13,24,54.2,12,38,50,25,21,11,11,3,19,240:00
379,9226,19,18,36,15,9,12,8,105,36,88,40.9,20,26,76.9,13,35,37.1,10,35,45,21,20,5,18,6,-19,240:00
380,9227,14,7,62,20,19,22,8,116,46,93,49.5,10,17,58.8,14,38,36.8,13,34,47,27,18,15,19,5,9,240:00
381,9227,14,10,64,2,12,25,9,107,43,93,46.2,11,16,68.8,10,36,27.8,15,27,42,29,24,8,20,6,-9,240:00
382,9309,40,13,74,22,18,11,10,120,46,87,52.9,20,32,62.5,8,29,27.6,13,33,46,22,20,6,11,3,15,240:00
383,9309,40,22,30,0,10,18,10,105,37,88,42.0,17,24,70.8,14,40,35.0,11,34,45,23,28,6,10,3,-15,240:00
384,9310,8,9,40,10,16,18,11,94,38,81,46.9,9,13,69.2,9,24,37.5,7,29,36,23,19,7,11,5,-1,240:00
385,9310,8,6,46,13,8,18,12,95,36,75,48.0,13,15,86.7,10,26,38.5,7,31,38,21,21,5,14,2,1,240:00
386,9311,27,14,44,11,19,15,10,110,42,100,42.0,13,20,65.0,13,32,40.6,14,29,43,22,20,10,7,4,8,240:00
387,9311,27,8,44,7,18,8,10,102,37,81,45.7,21,27,77.8,7,27,25.9,12,40,52,21,22,4,17,9,-8,240:00
388,9312,21,23,56,20,24,9,10,136,45,91,49.5,33,36,91.7,13,33,39.4,14,36,50,24,19,7,13,6,18,240:00
389,9312,21,11,50,2,11,9,12,118,42,87,48.3,21,27,77.8,13,36,36.1,6,27,33,26,26,5,10,1,-18,240:00
390,9313,7,6,44,4,6,5,9,93,35,83,42.2,15,23,65.2,8,28,28.6,8,36,44,20,17,4,12,3,-17,240:00
391,9313,7,8,68,21,10,13,11,110,45,90,50.0,11,17,64.7,9,29,31.0,10,37,47,27,19,7,7,8,17,240:00
392,9314,11,20,52,7,5,8,11,124,45,88,51.1,17,23,73.9,17,40,42.5,9,32,41,29,30,5,14,0,-7,240:00
393,9314,11,22,66,14,12,24,15,131,46,84,54.8,29,41,70.7,10,32,31.2,7,34,41,39,25,8,9,5,7,240:00
394,9315,28,21,46,3,19,21,10,108,41,100,41.0,15,16,93.8,11,35,31.4,15,22,37,20,21,10,9,2,-15,240:00
395,9315,28,3,64,30,20,16,13,123,45,83,54.2,23,26,88.5,10,27,37.0,13,38,51,28,18,6,17,7,15,240:00
396,9316,6,14,32,9,12,24,7,108,35,86,40.7,26,30,86.7,12,27,44.4,8,34,42,22,19,11,9,5,2,240:00
397,9316,6,17,58,6,25,14,9,106,38,91,41.8,22,29,75.9,8,31,25.8,17,38,55,23,22,7,17,8,-2,240:00
398,9317,8,11,46,27,9,12,12,112,42,81,51.9,19,22,86.4,9,22,40.9,10,37,47,30,14,5,11,7,16,240:00
399,9317,8,14,44,10,13,16,12,96,38,91,41.8,10,12,83.3,10,29,34.5,8,25,33,25,16,7,10,4,-16,240:00
400,9318,20,15,48,25,5,23,15,120,40,86,46.5,26,31,83.9,14,33,42.4,11,32,43,21,16,7,14,6,10,240:00
401,9318,20,6,50,4,21,13,13,110,41,93,44.1,14,17,82.4,14,42,33.3,15,31,46,21,27,9,18,4,-10,240:00
402,9319,1,10,40,8,18,12,11,121,43,97,44.3,19,21,90.5,16,38,42.1,14,30,44,23,23,8,2,4,3,240:00
403,9319,1,7,68,16,6,5,11,118,48,84,57.1,14,24,58.3,8,25,32.0,8,38,46,27,18,1,9,8,-3,240:00
404,9320,16,14,36,7,3,6,16,108,38,78,48.7,17,19,89.5,15,34,44.1,3,34,37,27,24,6,12,7,-8,240:00
405,9320,16,7,46,15,21,12,18,116,40,96,41.7,25,33,75.8,11,35,31.4,18,36,54,19,18,8,7,4,8,240:00
406,9542,26,16,42,14,17,31,8,89,29,79,36.7,24,31,77.4,7,27,25.9,10,29,39,20,24,13,15,13,13,200:00
407,9542,26,8,30,4,13,11,8,76,27,81,33.3,13,16,81.2,9,41,22.0,17,31,48,12,28,12,23,6,-13,200:00
408,9543,11,8,24,7,11,10,9,79,28,78,35.9,11,15,73.3,12,37,32.4,11,34,45,19,20,10,19,6,-1,210:00
409,9543,11,9,44,6,19,31,11,80,31,82,37.8,11,13,84.6,7,26,26.9,13,33,46,19,18,10,16,9,1,210:00
410,9544,19,14,48,16,16,12,10,96,36,93,38.7,16,26,61.5,8,30,26.7,20,36,56,20,20,7,11,5,5,200:00
411,9544,19,20,46,5,9,14,11,91,33,82,40.2,20,27,74.1,5,28,17.9,11,36,47,19,21,7,9,4,-5,200:00
412,9545,15,17,32,25,7,21,11,74,27,72,37.5,14,19,73.7,6,25,24.0,9,32,41,14,23,11,19,11,9,200:00
413,9545,15,14,32,4,4,17,12,65,25,73,34.2,8,13,61.5,7,34,20.6,8,33,41,16,20,13,21,8,-9,200:00
414,9546,21,5,30,9,20,8,9,87,33,71,46.5,9,10,90.0,12,32,37.5,16,29,45,17,15,1,27,8,-7,200:00
415,9546,21,22,48,9,14,35,7,94,37,81,45.7,9,14,64.3,11,34,32.4,12,16,28,22,15,14,10,3,7,200:00
416,9547,31,5,36,8,9,7,17,91,32,82,39.0,17,22,77.3,10,32,31.2,9,30,39,20,20,5,10,2,-25,200:00
417,9547,31,17,54,30,9,10,18,116,46,80,57.5,13,17,76.5,11,27,40.7,5,35,40,25,18,3,9,1,25,200:00
418,9548,7,23,36,8,12,20,11,88,31,74,41.9,18,27,66.7,8,21,38.1,11,29,40,14,17,11,9,5,3,200:00
419,9548,7,21,44,9,25,10,14,85,33,92,35.9,11,14,78.6,8,30,26.7,20,30,50,18,23,7,13,7,-3,200:00
420,9549,1,8,38,3,19,19,11,85,33,80,41.2,8,15,53.3,11,35,31.4,15,22,37,23,15,6,10,5,-19,200:00
421,9549,1,9,24,24,19,13,12,104,36,79,45.6,11,12,91.7,21,47,44.7,12,32,44,23,15,7,12,2,19,200:00
422,9550,10,5,24,13,15,14,11,79,27,67,40.3,15,24,62.5,10,35,28.6,11,30,41,13,26,6,10,5,1,200:00
423,9550,10,0,20,0,9,14,8,78,28,75,37.3,9,13,69.2,13,31,41.9,14,26,40,18,22,4,12,2,-1,200:00
424,9551,19,9,54,26,17,13,12,104,39,80,48.8,19,22,86.4,7,28,25.0,13,36,49,23,15,6,13,4,9,200:00
425,9551,19,6,36,0,15,12,14,95,35,85,41.2,10,14,71.4,15,39,38.5,11,30,41,24,23,8,12,6,-9,200:00
426,9552,5,11,36,1,17,13,12,74,24,74,32.4,22,24,91.7,4,25,16.0,14,23,37,14,14,7,18,9,-25,200:00
427,9552,5,29,58,32,14,30,17,99,39,87,44.8,14,17,82.4,7,31,22.6,17,30,47,22,19,12,11,7,25,200:00
428,9553,8,9,28,17,11,11,7,83,26,76,34.2,20,21,95.2,11,39,28.2,8,19,27,15,18,6,6,5,1,200:00
429,9553,8,10,42,4,8,5,9,82,33,70,47.1,9,12,75.0,7,22,31.8,7,31,38,20,24,4,15,7,-1,200:00
430,9554,40,9,40,5,16,11,7,98,35,72,48.6,17,20,85.0,11,31,35.5,8,26,34,22,20,7,19,2,-5,200:00
431,9554,40,14,54,12,6,27,8,103,38,73,52.1,18,27,66.7,9,27,33.3,10,21,31,18,18,11,11,2,5,200:00
432,9555,14,13,44,5,17,16,14,95,37,85,43.5,7,13,53.8,14,49,28.6,12,26,38,26,14,10,9,5,3,200:00
433,9555,14,6,40,14,19,11,14,92,38,76,50.0,9,12,75.0,7,25,28.0,12,34,46,18,18,3,15,4,-3,200:00
434,9556,4,10,26,6,6,14,10,72,26,82,31.7,10,15,66.7,10,34,29.4,11,25,36,17,16,11,17,8,-14,200:00
435,9556,4,10,52,19,10,20,10,86,35,84,41.7,7,13,53.8,9,26,34.6,17,37,54,15,19,11,22,9,14,200:00
436,9557,17,20,44,8,22,29,12,84,32,80,40.0,12,19,63.2,8,30,26.7,14,31,45,24,17,16,18,3,8,200:00
437,9557,17,8,34,17,4,23,12,76,29,75,38.7,9,12,75.0,9,31,29.0,13,31,44,19,18,11,22,10,-8,200:00
438,9558,23,19,36,31,7,22,17,87,34,72,47.2,8,14,57.1,11,33,33.3,9,38,47,27,26,7,19,5,28,200:00
439,9558,23,8,26,1,13,14,14,59,21,72,29.2,11,23,47.8,6,29,20.7,16,20,36,12,17,10,23,2,-28,200:00
440,9559,30,24,52,33,16,38,10,100,40,95,42.1,9,16,56.2,11,30,36.7,19,24,43,17,23,18,7,1,33,200:00
441,9559,30,4,26,11,9,4,10,67,23,59,39.0,14,17,82.4,7,36,19.4,5,34,39,19,17,2,28,8,-33,200:00
442,9573,14,13,58,4,17,21,15,106,40,88,45.5,15,22,68.2,11,33,33.3,12,29,41,21,25,13,24,3,-18,240:00
443,9573,14,31,50,35,15,38,15,124,42,87,48.3,24,31,77.4,16,38,42.1,13,33,46,26,22,18,18,12,18,240:00
444,9574,27,29,50,27,6,18,14,117,44,85,51.8,16,20,80.0,13,25,52.0,6,41,47,24,11,9,12,5,20,240:00
445,9574,27,25,36,3,2,9,11,97,39,93,41.9,6,9,66.7,13,30,43.3,10,34,44,28,16,5,13,6,-20,240:00
446,9575,26,6,50,7,20,7,12,97,35,86,40.7,18,23,78.3,9,29,31.0,13,31,44,17,20,6,16,6,-26,240:00
447,9575,26,26,56,28,19,21,15,123,49,98,50.0,12,18,66.7,13,30,43.3,13,30,43,32,22,8,8,3,26,240:00
448,9576,25,10,46,2,11,13,7,86,34,91,37.4,11,18,61.1,7,35,20.0,15,35,50,19,15,4,14,2,-21,240:00
449,9576,25,0,50,26,15,13,9,107,40,91,44.0,13,15,86.7,14,47,29.8,12,41,53,18,19,6,10,5,21,240:00
450,9577,9,18,42,15,13,27,13,110,44,83,53.0,5,9,55.6,17,39,43.6,6,40,46,25,20,9,17,1,12,240:00
451,9577,9,10,34,16,11,22,13,98,36,87,41.4,12,17,70.6,14,37,37.8,11,34,45,23,18,9,18,3,-12,240:00
452,9578,30,20,46,18,12,18,10,124,42,92,45.7,23,29,79.3,17,41,41.5,7,36,43,24,22,6,10,4,3,240:00
453,9578,30,2,58,3,11,9,10,121,45,93,48.4,19,22,86.4,12,35,34.3,9,40,49,25,22,5,12,5,-3,240:00
454,9579,8,7,26,8,2,14,12,87,31,93,33.3,12,13,92.3,13,43,30.2,10,40,50,16,21,7,15,3,-26,240:00
455,9579,8,11,46,30,8,9,12,113,45,94,47.9,8,9,88.9,15,35,42.9,6,49,55,31,16,8,13,9,26,240:00
456,9580,21,2,38,0,3,5,16,95,32,84,38.1,19,29,65.5,12,42,28.6,5,33,38,19,26,6,15,0,-42,240:00
457,9580,21,22,60,42,15,21,19,137,51,96,53.1,20,31,64.5,15,35,42.9,11,47,58,28,26,8,11,2,42,240:00
458,9581,16,20,48,8,7,18,12,113,42,96,43.8,15,21,71.4,14,40,35.0,8,31,39,24,25,9,7,2,-2,240:00
459,9581,16,25,50,19,7,6,12,115,43,83,51.8,14,22,63.6,15,31,48.4,10,43,53,27,20,5,21,4,2,240:00
460,9582,5,14,58,18,16,34,15,123,48,91,52.7,14,17,82.4,13,32,40.6,11,35,46,32,16,13,18,1,11,240:00
