id,season,date,arena,H_team,A_team_id,A_team,A_team_id,H_score,A_score,ref1,ref2,ref3,ties,leadChange,nugget
9131,2021,2021-12-05T01:30:00.000Z,American Airlines Center,Dallas Mavericks,8,Memphis Grizzlies,19,90,97,Sean Wright,Mark Lindsay,Suyash Mehta,0,0,
9132,2021,2021-12-05T01:30:00.000Z,Chase Center,Golden State Warriors,11,San Antonio Spurs,31,107,112,James Capers,Sean Corbin,Robert Hussey,1,6,
9133,2021,2021-12-05T03:00:00.000Z,Moda Center,Portland Trail Blazers,29,Boston Celtics,2,117,145,Rodney Mott,Kevin Cutler,Matt Myers,2,2,
9134,2021,2021-12-05T03:00:00.000Z,Golden 1 Center,Sacramento Kings,30,LA Clippers,16,104,99,Scott Foster,Michael Smith,Phenizee Ransom,6,5,
9135,2021,2021-12-05T20:30:00.000Z,Rocket Mortgage FieldHouse,Cleveland Cavaliers,7,Utah Jazz,40,108,109,Pat Fraher,Curtis Blair,Matt Kallio,13,14,
9136,2021,2021-12-05T23:00:00.000Z,State Farm Arena,Atlanta Hawks,1,Charlotte Hornets,5,127,130,Zach Zarba,Brian Forte,Aaron Smith,10,17,
9137,2021,2021-12-05T23:00:00.000Z,Scotiabank Arena,Toronto Raptors,38,Washington Wizards,41,102,90,Kane Fitzgerald,Tyler Ford,Mousa Dagher,1,1,
9138,2021,2021-12-06T00:00:00.000Z,Toyota Center,Houston Rockets,14,New Orleans Pelicans,23,118,108,Derrick Collins,Eric Lewis,Jenna Reneau,1,4,
9139,2021,2021-12-07T00:00:00.000Z,Spectrum Center,Charlotte Hornets,5,Philadelphia 76ers,27,124,127,Josh Tiven,Brandon Adair,Jacyn Goble,7,11,
9140,2021,2021-12-07T00:00:00.000Z,Little Caesars Arena,Detroit Pistons,10,Oklahoma City Thunder,25,103,114,JB DeRosa,Courtney Kirkland,John Conley,1,1,
9141,2021,2021-12-07T00:00:00.000Z,Gainbridge Fieldhouse,Indiana Pacers,15,Washington Wizards,41,116,110,Derek Richardson,David Guthrie,Mitchell Ervin,2,3,
9142,2021,2021-12-07T00:30:00.000Z,FTX Arena,Miami Heat,20,Memphis Grizzlies,19,90,105,Bill Kennedy,Brian Forte,Jenna Schroeder,1,0,
9143,2021,2021-12-07T01:00:00.000Z,United Center,Chicago Bulls,6,Denver Nuggets,9,109,97,Sean Wright,Kevin Cutler,Nick Buchert,6,7,
9144,2021,2021-12-07T01:00:00.000Z,Fiserv Forum,Milwaukee Bucks,21,Cleveland Cavaliers,7,112,104,Mark Lindsay,Lauren Holtkamp,Jason Goldenberg,4,4,
9145,2021,2021-12-07T01:00:00.000Z,Target Center,Minnesota Timberwolves,22,Atlanta Hawks,1,110,121,Tre Maddox,Kevin Scott,Phenizee Ransom,1,3,
9146,2021,2021-12-07T02:00:00.000Z,Footprint Center,Phoenix Suns,28,San Antonio Spurs,31,108,104,James Williams,Justin Van Duyne,Suyash Mehta,6,4,
9147,2021,2021-12-07T03:00:00.000Z,Chase Center,Golden State Warriors,11,Orlando Magic,26,126,95,Rodney Mott,Michael Smith,Tyler Ricks,1,1,
9148,2021,2021-12-07T03:00:00.000Z,Moda Center,Portland Trail Blazers,29,LA Clippers,16,90,102,Sean Corbin,Ben Taylor,John Butler,8,11,
9149,2021,2021-12-08T00:30:00.000Z,American Airlines Center,Dallas Mavericks,8,Brooklyn Nets,4,99,102,Tom Washington,Zach Zarba,Aaron Smith,4,3,
9150,2021,2021-12-08T01:30:00.000Z,AT&T Center,San Antonio Spurs,31,New York Knicks,24,109,121,Derrick Collins,Eric Lewis,Jamahl Ralls,8,7,
9151,2021,2021-12-08T03:00:00.000Z,STAPLES Center,Los Angeles Lakers,17,Boston Celtics,2,117,102,Scott Foster,Curtis Blair,J.T. Orr,7,11,
9152,2021,2021-12-09T00:00:00.000Z,Spectrum Center,Charlotte Hornets,5,Philadelphia 76ers,27,106,110,Derek Richardson,Bill Kennedy,Karl Lane,12,16,
9153,2021,2021-12-09T00:00:00.000Z,Rocket Mortgage FieldHouse,Cleveland Cavaliers,7,Chicago Bulls,6,115,92,Courtney Kirkland,Nick Buchert,Jonathan Sterling,4,6,
9154,2021,2021-12-09T00:00:00.000Z,Little Caesars Arena,Detroit Pistons,10,Washington Wizards,41,116,119,James Williams,Cheryl Flores,Jacyn Goble,11,8,
9155,2021,2021-12-09T00:00:00.000Z,Gainbridge Fieldhouse,Indiana Pacers,15,New York Knicks,24,122,102,JB DeRosa,Marc Davis,Brandon Adair,0,1,
9156,2021,2021-12-09T00:30:00.000Z,FTX Arena,Miami Heat,20,Milwaukee Bucks,21,113,104,Kane Fitzgerald,Mitchell Ervin,Dedric Taylor,12,16,
9157,2021,2021-12-09T00:30:00.000Z,Scotiabank Arena,Toronto Raptors,38,Oklahoma City Thunder,25,109,110,David Guthrie,Mark Lindsay,CJ Washington,8,9,
9158,2021,2021-12-09T01:00:00.000Z,Toyota Center,Houston Rockets,14,Brooklyn Nets,4,114,104,Josh Tiven,Tyler Ford,Brandon Schwab,2,2,
9159,2021,2021-12-09T01:00:00.000Z,FedExForum,Memphis Grizzlies,19,Dallas Mavericks,8,96,104,Sean Corbin,Matt Boland,John Goble,10,9,
9160,2021,2021-12-09T01:00:00.000Z,Target Center,Minnesota Timberwolves,22,Utah Jazz,40,104,136,Kevin Cutler,Gediminas Petraitis,Phenizee Ransom,7,13,
9163,2021,2021-12-09T03:00:00.000Z,Golden 1 Center,Sacramento Kings,30,Orlando Magic,26,142,130,J.T. Orr,Ben Taylor,Suyash Mehta,6,12,
9164,2021,2021-12-09T03:30:00.000Z,STAPLES Center,LA Clippers,16,Boston Celtics,2,114,111,Michael Smith,Tre Maddox,Andy Nagy,5,8,
9165,2021,2021-12-10T00:00:00.000Z,Wells Fargo Center,Philadelphia 76ers,27,Utah Jazz,40,96,118,Rodney Mott,Leon Wood,Brent Barnaky,8,10,
